frame_index,duration_us,output_bytes
0,17160,8294400
1,16579,8294400
2,16064,8294400
3,17666,8294400
4,16892,8294400
5,16146,8294400
6,16751,8294400
7,17389,8294400
8,15851,8294400
9,17176,8294400
10,16791,8294400
11,16231,8294400
12,15669,8294400
13,17035,8294400
14,16410,8294400
15,17408,8294400
16,16922,8294400
17,16726,8294400
18,15819,8294400
19,16919,8294400
20,17065,8294400
21,16392,8294400
22,16937,8294400
23,16785,8294400
24,15598,8294400
25,16605,8294400
26,17161,8294400
27,17021,8294400
28,16575,8294400
29,16975,8294400
30,15759,8294400
31,16610,8294400
32,17515,8294400
33,16143,8294400
34,18139,8294400
35,15881,8294400
36,16134,8294400
37,16282,8294400
38,17398,8294400
39,16910,8294400
40,16675,8294400
41,15682,8294400
42,16127,8294400
43,18008,8294400
44,16708,8294400
45,15942,8294400
46,17346,8294400
47,16122,8294400
48,17254,8294400
49,16017,8294400
50,16984,8294400
51,15813,8294400
52,17397,8294400
53,16840,8294400
54,15871,8294400
55,16848,8294400
56,17252,8294400
57,16865,8294400
58,20790,8294400
59,29677,8294400
60,16098,8294400
61,16588,8294400
62,16449,8294400
63,15991,8294400
64,17406,8294400
65,16464,8294400
66,16939,8294400
67,16266,8294400
68,17351,8294400
69,16017,8294400
70,16264,8294400
71,17339,8294400
72,16954,8294400
73,16661,8294400
74,15705,8294400
75,17436,8294400
76,16876,8294400
77,15739,8294400
78,16911,8294400
79,17119,8294400
80,16037,8294400
81,18168,8294400
82,15593,8294400
83,16157,8294400
84,16806,8294400
85,16426,8294400
86,17341,8294400
87,16040,8294400
88,17265,8294400
89,16809,8294400
90,16275,8294400
91,17053,8294400
92,16072,8294400
93,18477,8294400
94,16414,8294400
95,16372,8294400
96,16943,8294400
97,16162,8294400
98,15075,8294400
99,18494,8294400
100,16734,8294400
101,15910,8294400
102,17346,8294400
103,17763,8294400
104,15763,8294400
105,16041,8294400
106,17361,8294400
107,15601,8294400
108,17038,8294400
109,17099,8294400
110,16935,8294400
111,15549,8294400
112,17477,8294400
113,16121,8294400
114,16935,8294400
115,16965,8294400
116,16582,8294400
117,16882,8294400
118,16102,8294400
119,17290,8294400
