frame_index,duration_us,output_bytes
0,18258,8294400
1,16311,8294400
2,17361,8294400
3,17287,8294400
4,15560,8294400
5,17417,8294400
6,16112,8294400
7,17272,8294400
8,16510,8294400
9,15874,8294400
10,18131,8294400
11,16039,8294400
12,16333,8294400
13,16469,8294400
14,17507,8294400
15,15631,8294400
16,17249,8294400
17,16084,8294400
18,16914,8294400
19,16867,8294400
20,15624,8294400
21,17285,8294400
22,18442,8294400
23,14729,8294400
24,16831,8294400
25,17621,8294400
26,17201,8294400
27,15594,8294400
28,16656,8294400
29,16862,8294400
30,16048,8294400
31,17378,8294400
32,16280,8294400
33,16808,8294400
34,16036,8294400
35,16342,8294400
36,16608,8294400
37,18260,8294400
38,16390,8294400
39,15561,8294400
40,17471,8294400
41,16364,8294400
42,16797,8294400
43,16549,8294400
44,16487,8294400
45,17119,8294400
46,16886,8294400
47,16015,8294400
48,17142,8294400
49,16938,8294400
50,16164,8294400
51,17645,8294400
52,16786,8294400
53,19085,8294400
54,30356,8294400
55,16084,8294400
56,15780,8294400
57,18301,8294400
58,15541,8294400
59,15934,8294400
60,18198,8294400
61,15527,8294400
62,18037,8294400
63,16786,8294400
64,15482,8294400
65,17401,8294400
66,17912,8294400
67,14511,8294400
68,17053,8294400
69,18411,8294400
70,14817,8294400
71,15993,8294400
72,18357,8294400
73,15204,8294400
74,17273,8294400
75,16774,8294400
76,17133,8294400
77,15886,8294400
78,16886,8294400
79,16514,8294400
80,16834,8294400
81,16775,8294400
82,15487,8294400
83,17412,8294400
84,18505,8294400
85,15288,8294400
86,16955,8294400
87,17796,8294400
88,14883,8294400
89,16800,8294400
90,17233,8294400
91,16481,8294400
92,16977,8294400
93,17008,8294400
94,15804,8294400
95,16054,8294400
96,17364,8294400
97,16503,8294400
98,16821,8294400
99,16675,8294400
100,16183,8294400
101,16936,8294400
102,17879,8294400
103,15896,8294400
104,17607,8294400
105,16870,8294400
106,14468,8294400
107,17206,8294400
108,17094,8294400
109,15345,8294400
110,18421,8294400
111,16087,8294400
112,19490,8294400
113,32138,8294400
114,15525,8294400
115,14704,8294400
116,18377,8294400
117,14992,8294400
118,16894,8294400
119,17793,8294400
