frame_index,duration_us,output_bytes
0,15694,8294400
1,18145,8294400
2,15063,8294400
3,17654,8294400
4,15638,8294400
5,17216,8294400
6,16241,8294400
7,16819,8294400
8,16820,8294400
9,16635,8294400
10,16440,8294400
11,17997,8294400
12,32111,8294400
13,16391,8294400
14,17397,8294400
15,16602,8294400
16,16878,8294400
17,15964,8294400
18,16925,8294400
19,16158,8294400
20,17370,8294400
21,16559,8294400
22,18361,8294400
23,31252,8294400
24,17058,8294400
25,16827,8294400
26,16730,8294400
27,16478,8294400
28,17460,8294400
29,15708,8294400
30,17285,8294400
31,16433,8294400
32,17130,8294400
33,16186,8294400
34,16612,8294400
35,15518,8294400
36,17248,8294400
37,16906,8294400
38,15933,8294400
39,17287,8294400
40,16346,8294400
41,16464,8294400
42,17102,8294400
43,16793,8294400
44,16218,8294400
45,17617,8294400
46,15680,8294400
47,16695,8294400
48,16580,8294400
49,16839,8294400
50,16950,8294400
51,16311,8294400
52,17240,8294400
53,15856,8294400
54,17146,8294400
55,16577,8294400
56,16555,8294400
57,17139,8294400
58,15961,8294400
59,16968,8294400
