frame_index,duration_us,output_bytes
0,17379,8294400
1,17328,8294400
2,15560,8294400
3,17249,8294400
4,16900,8294400
5,15673,8294400
6,16889,8294400
7,17219,8294400
8,15275,8294400
9,18404,8294400
10,16561,8294400
11,16623,8294400
12,16806,8294400
13,15762,8294400
14,15971,8294400
15,18282,8294400
16,16725,8294400
17,16492,8294400
18,16646,8294400
19,17379,8294400
20,15678,8294400
21,16690,8294400
22,16183,8294400
23,17439,8294400
24,15906,8294400
25,17532,8294400
26,15152,8294400
27,19086,8294400
28,14753,8294400
29,19264,8294400
30,16208,8294400
31,16178,8294400
32,14109,8294400
33,18324,8294400
34,17725,8294400
35,14717,8294400
36,16838,8294400
37,18485,8294400
38,14437,8294400
39,17961,8294400
40,16873,8294400
41,17179,8294400
42,15627,8294400
43,16975,8294400
44,15306,8294400
45,18210,8294400
46,17278,8294400
47,15371,8294400
48,17075,8294400
49,17448,8294400
50,14590,8294400
51,18391,8294400
52,17181,8294400
53,15541,8294400
54,18129,8294400
55,15846,8294400
56,15408,8294400
57,18061,8294400
58,15646,8294400
59,16436,8294400
60,17876,8294400
61,16788,8294400
62,15579,8294400
63,17711,8294400
64,16694,8294400
65,15030,8294400
66,18217,8294400
67,16731,8294400
68,15254,8294400
69,17506,8294400
70,17232,8294400
71,14975,8294400
72,18455,8294400
73,16940,8294400
74,14983,8294400
75,17973,8294400
76,16724,8294400
77,14949,8294400
78,18405,8294400
79,16612,8294400
80,16851,8294400
81,16600,8294400
82,16824,8294400
83,15715,8294400
84,17767,8294400
85,15763,8294400
86,17519,8294400
87,17833,8294400
88,14803,8294400
89,19319,8294400
90,30398,8294400
91,16598,8294400
92,15756,8294400
93,17614,8294400
94,16521,8294400
95,15943,8294400
96,16711,8294400
97,17738,8294400
98,15876,8294400
99,16375,8294400
100,16473,8294400
101,17171,8294400
102,17360,8294400
103,16105,8294400
104,18058,8294400
105,15792,8294400
106,16806,8294400
107,16168,8294400
108,16780,8294400
109,17024,8294400
110,16735,8294400
111,15027,8294400
112,17498,8294400
113,16455,8294400
114,16543,8294400
115,18022,8294400
116,15593,8294400
117,17675,8294400
118,15495,8294400
119,16415,8294400
