frame_index,duration_us,output_bytes
0,16841,8294400
1,17265,8294400
2,15652,8294400
3,16705,8294400
4,18749,8294400
5,14865,8294400
6,19252,8294400
7,31506,8294400
8,16166,8294400
9,16508,8294400
10,16953,8294400
11,16365,8294400
12,16305,8294400
13,17583,8294400
14,15444,8294400
15,17073,8294400
16,16516,8294400
17,16599,8294400
18,16654,8294400
19,17206,8294400
20,17063,8294400
21,16887,8294400
22,15576,8294400
23,17930,8294400
24,15591,8294400
25,16981,8294400
26,17532,8294400
27,16295,8294400
28,15892,8294400
29,17004,8294400
30,17222,8294400
31,16332,8294400
32,16603,8294400
33,16884,8294400
34,16061,8294400
35,17087,8294400
36,16568,8294400
37,16696,8294400
38,15810,8294400
39,17980,8294400
40,15842,8294400
41,17200,8294400
42,15924,8294400
43,16626,8294400
44,17807,8294400
45,16257,8294400
46,15681,8294400
47,17087,8294400
48,16603,8294400
49,16729,8294400
50,16842,8294400
51,16585,8294400
52,17068,8294400
53,16664,8294400
54,16951,8294400
55,17041,8294400
56,16189,8294400
57,16684,8294400
58,16337,8294400
59,16457,8294400
60,17039,8294400
61,17151,8294400
62,15574,8294400
63,17842,8294400
64,16669,8294400
65,22276,8294400
66,30026,8294400
67,31271,8294400
68,15269,8294400
69,16415,8294400
70,16746,8294400
71,16488,8294400
72,16720,8294400
73,16728,8294400
74,16794,8294400
75,17161,8294400
76,15916,8294400
77,16700,8294400
78,16852,8294400
79,17188,8294400
80,16672,8294400
81,16382,8294400
82,16509,8294400
83,16445,8294400
84,17127,8294400
85,16780,8294400
86,16062,8294400
87,17202,8294400
88,16159,8294400
89,17713,8294400
90,15975,8294400
91,16584,8294400
92,16502,8294400
93,16808,8294400
94,16573,8294400
95,17121,8294400
96,16004,8294400
97,17316,8294400
98,16356,8294400
99,16760,8294400
100,16534,8294400
101,16938,8294400
102,16455,8294400
103,17251,8294400
104,16124,8294400
105,16867,8294400
106,16983,8294400
107,16009,8294400
108,16818,8294400
109,16949,8294400
110,16162,8294400
111,16664,8294400
112,16434,8294400
113,17312,8294400
114,17399,8294400
115,15682,8294400
116,17593,8294400
117,16207,8294400
118,17295,8294400
119,17143,8294400
