frame_index,duration_us,output_bytes
0,15465,8294400
1,15992,8294400
2,16890,8294400
3,16758,8294400
4,17991,8294400
5,18145,8294400
6,18044,8294400
7,31090,8294400
8,19686,8294400
9,31024,8294400
10,14289,8294400
11,17118,8294400
12,15975,8294400
13,16832,8294400
14,18959,8294400
15,29462,8294400
16,22098,8294400
17,33881,8294400
18,30038,8294400
19,16606,8294400
20,17824,8294400
21,14493,8294400
22,16054,8294400
23,17675,8294400
24,15755,8294400
25,17100,8294400
26,31590,8294400
27,20922,8294400
28,14453,8294400
29,16674,8294400
30,16814,8294400
31,16546,8294400
32,16180,8294400
33,16622,8294400
34,16382,8294400
35,17232,8294400
36,16346,8294400
37,16891,8294400
38,16586,8294400
39,16576,8294400
40,18491,8294400
41,17661,8294400
42,15838,8294400
43,15735,8294400
44,16700,8294400
45,18146,8294400
46,16437,8294400
47,16100,8294400
48,18014,8294400
49,31059,8294400
50,16404,8294400
51,16777,8294400
52,15758,8294400
53,16865,8294400
54,16982,8294400
55,16053,8294400
56,16469,8294400
57,17021,8294400
58,17047,8294400
59,16136,8294400
60,17920,8294400
61,17369,8294400
62,18706,8294400
63,46334,8294400
64,19174,8294400
65,18978,8294400
66,31280,8294400
67,16892,8294400
68,32106,8294400
69,16973,8294400
70,18044,8294400
71,32751,8294400
72,35124,8294400
73,33231,8294400
74,30934,8294400
75,19987,8294400
76,30975,8294400
77,37193,8294400
78,31321,8294400
79,31833,8294400
80,32525,8294400
81,32819,8294400
82,18458,8294400
83,32418,8294400
84,32318,8294400
85,16088,8294400
86,19035,8294400
87,33791,8294400
88,31154,8294400
89,16623,8294400
90,17316,8294400
91,15145,8294400
92,18062,8294400
93,16081,8294400
94,16724,8294400
95,16571,8294400
96,16385,8294400
97,17558,8294400
98,16263,8294400
99,15704,8294400
100,15708,8294400
101,15983,8294400
102,17018,8294400
103,16589,8294400
104,20628,8294400
105,31315,8294400
106,16682,8294400
107,16462,8294400
108,16863,8294400
109,16438,8294400
110,17076,8294400
111,16478,8294400
112,16331,8294400
113,17350,8294400
114,15987,8294400
115,21857,8294400
116,28048,8294400
117,15841,8294400
118,17848,8294400
119,15757,8294400
