frame_index,duration_us,output_bytes
0,18107,8294400
1,18262,8294400
2,30781,8294400
3,16429,8294400
4,19611,8294400
5,30445,8294400
6,16701,8294400
7,17395,8294400
8,16468,8294400
9,16162,8294400
10,17067,8294400
11,15987,8294400
12,16288,8294400
13,18214,8294400
14,17179,8294400
15,16382,8294400
16,16593,8294400
17,17921,8294400
18,29909,8294400
19,17553,8294400
20,17017,8294400
21,16754,8294400
22,19365,8294400
23,30765,8294400
24,18332,8294400
25,31088,8294400
26,18518,8294400
27,15307,8294400
28,20455,8294400
29,28813,8294400
30,16836,8294400
31,17012,8294400
32,18044,8294400
33,15665,8294400
34,15966,8294400
35,16466,8294400
36,17598,8294400
37,16507,8294400
38,16244,8294400
39,20313,8294400
40,30372,8294400
41,15728,8294400
42,18105,8294400
43,14932,8294400
44,16610,8294400
45,16451,8294400
46,16606,8294400
47,16779,8294400
48,17490,8294400
49,15808,8294400
50,16902,8294400
51,18312,8294400
52,15761,8294400
53,15668,8294400
54,17913,8294400
55,17547,8294400
56,14631,8294400
57,16859,8294400
58,18872,8294400
59,31537,8294400
60,16004,8294400
61,16596,8294400
62,17176,8294400
63,17558,8294400
64,16668,8294400
65,16882,8294400
66,15779,8294400
67,16145,8294400
68,15965,8294400
69,18166,8294400
70,16467,8294400
71,16231,8294400
72,17010,8294400
73,16625,8294400
74,15602,8294400
75,17528,8294400
76,16255,8294400
77,17188,8294400
78,18731,8294400
79,32070,8294400
80,16192,8294400
81,16193,8294400
82,16490,8294400
83,16901,8294400
84,16316,8294400
85,16765,8294400
86,17687,8294400
87,15387,8294400
88,22065,8294400
89,29044,8294400
90,16264,8294400
91,16618,8294400
92,17244,8294400
93,16862,8294400
94,15934,8294400
95,22349,8294400
96,28658,8294400
97,14820,8294400
98,16523,8294400
99,16238,8294400
100,17232,8294400
101,16004,8294400
102,17139,8294400
103,16096,8294400
104,16904,8294400
105,18293,8294400
106,16489,8294400
107,16106,8294400
108,16718,8294400
109,15381,8294400
110,16573,8294400
111,17090,8294400
112,16592,8294400
113,16345,8294400
114,19556,8294400
115,15541,8294400
116,15740,8294400
117,15888,8294400
118,17486,8294400
119,15982,8294400
