frame_index,duration_us,output_bytes
0,13749,8294400
1,14997,8294400
2,18383,8294400
3,16242,8294400
4,19091,8294400
5,17417,8294400
6,29629,8294400
7,15901,8294400
8,15809,8294400
9,16921,8294400
10,18087,8294400
11,16980,8294400
12,15381,8294400
13,16255,8294400
14,16352,8294400
15,17670,8294400
16,15884,8294400
17,19126,8294400
18,17595,8294400
19,19848,8294400
20,29493,8294400
21,15193,8294400
22,15902,8294400
23,17523,8294400
24,19482,8294400
25,14541,8294400
26,15774,8294400
27,16172,8294400
28,16349,8294400
29,17492,8294400
30,17766,8294400
31,15883,8294400
32,16579,8294400
33,16673,8294400
34,16804,8294400
35,16278,8294400
36,16299,8294400
37,17010,8294400
38,17070,8294400
39,16961,8294400
40,17192,8294400
41,14210,8294400
42,17113,8294400
43,16812,8294400
44,15358,8294400
45,18456,8294400
46,17753,8294400
47,15816,8294400
48,15057,8294400
49,17393,8294400
50,16059,8294400
51,17374,8294400
52,16983,8294400
53,17937,8294400
54,18240,8294400
55,15958,8294400
56,14818,8294400
57,16647,8294400
58,15536,8294400
59,17922,8294400
60,17380,8294400
61,15919,8294400
62,16441,8294400
63,19154,8294400
64,15521,8294400
65,17121,8294400
66,14756,8294400
67,17763,8294400
68,17265,8294400
69,16769,8294400
70,14999,8294400
71,15915,8294400
72,16848,8294400
73,18832,8294400
74,16144,8294400
75,14528,8294400
76,17021,8294400
77,16342,8294400
78,17872,8294400
79,15661,8294400
80,17779,8294400
81,18208,8294400
82,15984,8294400
83,19291,8294400
84,16944,8294400
85,13745,8294400
86,16646,8294400
87,15888,8294400
88,16062,8294400
89,20368,8294400
90,16706,8294400
91,15407,8294400
92,17128,8294400
93,14644,8294400
94,16617,8294400
95,16905,8294400
96,15547,8294400
97,16503,8294400
98,17014,8294400
99,17309,8294400
100,15756,8294400
101,16333,8294400
102,17425,8294400
103,20277,8294400
104,16157,8294400
105,16751,8294400
106,15414,8294400
107,15143,8294400
108,18193,8294400
109,17562,8294400
110,17145,8294400
111,15556,8294400
112,15598,8294400
113,17274,8294400
114,16799,8294400
115,16961,8294400
116,17206,8294400
117,17029,8294400
118,15149,8294400
119,15895,8294400
