frame_index,duration_us,output_bytes
0,17121,8294400
1,16423,8294400
2,16510,8294400
3,16369,8294400
4,17647,8294400
5,16016,8294400
6,16509,8294400
7,16708,8294400
8,16743,8294400
9,16762,8294400
10,16574,8294400
11,16870,8294400
12,16316,8294400
13,16605,8294400
14,16662,8294400
15,16807,8294400
16,16819,8294400
17,16658,8294400
18,18503,8294400
19,15222,8294400
20,21315,8294400
21,28159,8294400
22,17758,8294400
23,15704,8294400
24,16826,8294400
25,17193,8294400
26,15923,8294400
27,16423,8294400
28,16540,8294400
29,17359,8294400
30,16547,8294400
31,17230,8294400
32,16834,8294400
33,18182,8294400
34,14720,8294400
35,17028,8294400
36,16092,8294400
37,17799,8294400
38,16105,8294400
39,16504,8294400
40,17136,8294400
41,16131,8294400
42,18570,8294400
43,15557,8294400
44,16695,8294400
45,16878,8294400
46,16500,8294400
47,15921,8294400
48,17693,8294400
49,15418,8294400
50,16263,8294400
51,16974,8294400
52,16696,8294400
53,16813,8294400
54,16673,8294400
55,17344,8294400
56,16706,8294400
57,16554,8294400
58,16463,8294400
59,17390,8294400
60,16400,8294400
61,16162,8294400
62,17170,8294400
63,16134,8294400
64,16654,8294400
65,17773,8294400
66,16142,8294400
67,16373,8294400
68,16401,8294400
69,15948,8294400
70,17045,8294400
71,16358,8294400
72,16172,8294400
73,16783,8294400
74,17169,8294400
75,15958,8294400
76,16980,8294400
77,19342,8294400
78,15699,8294400
79,18833,8294400
80,29570,8294400
81,18082,8294400
82,15472,8294400
83,16670,8294400
84,17029,8294400
85,17635,8294400
86,15582,8294400
87,17335,8294400
88,16211,8294400
89,16859,8294400
90,17104,8294400
91,16336,8294400
92,16569,8294400
93,16908,8294400
94,16745,8294400
95,16347,8294400
96,16717,8294400
97,16913,8294400
98,16785,8294400
99,16186,8294400
100,16907,8294400
101,18479,8294400
102,15355,8294400
103,16300,8294400
104,17354,8294400
105,15483,8294400
106,17019,8294400
107,16607,8294400
108,16842,8294400
109,16320,8294400
110,16461,8294400
111,17290,8294400
112,15818,8294400
113,16528,8294400
114,16725,8294400
115,15868,8294400
116,17480,8294400
117,16736,8294400
118,17032,8294400
119,16306,8294400
