frame_index,duration_us,output_bytes
0,17204,8294400
1,15923,8294400
2,17448,8294400
3,17471,8294400
4,14516,8294400
5,18141,8294400
6,17390,8294400
7,14529,8294400
8,18220,8294400
9,16365,8294400
10,16419,8294400
11,16364,8294400
12,16280,8294400
13,16720,8294400
14,16860,8294400
15,16556,8294400
16,17061,8294400
17,17423,8294400
18,15624,8294400
19,16764,8294400
20,16920,8294400
21,16969,8294400
22,16087,8294400
23,16958,8294400
24,16302,8294400
25,17081,8294400
26,14991,8294400
27,17811,8294400
28,16586,8294400
29,16977,8294400
30,16144,8294400
31,16720,8294400
32,17368,8294400
33,17000,8294400
34,16127,8294400
35,16314,8294400
36,17141,8294400
37,17346,8294400
38,14860,8294400
39,18219,8294400
40,15661,8294400
41,17467,8294400
42,16193,8294400
43,18127,8294400
44,16988,8294400
45,20108,8294400
46,28303,8294400
47,17048,8294400
48,17240,8294400
49,15125,8294400
50,16856,8294400
51,17534,8294400
52,15977,8294400
53,16336,8294400
54,16845,8294400
55,18356,8294400
56,15861,8294400
57,15143,8294400
58,16910,8294400
59,17377,8294400
60,16014,8294400
61,16520,8294400
62,16896,8294400
63,17481,8294400
64,16665,8294400
65,15428,8294400
66,17261,8294400
67,17208,8294400
68,15949,8294400
69,17119,8294400
70,16779,8294400
71,16625,8294400
72,16315,8294400
73,17316,8294400
74,15429,8294400
75,18548,8294400
76,15288,8294400
77,16233,8294400
78,17274,8294400
79,17173,8294400
80,16387,8294400
81,15764,8294400
82,18162,8294400
83,16567,8294400
84,16722,8294400
85,15565,8294400
86,17203,8294400
87,17243,8294400
88,16453,8294400
89,16083,8294400
90,16930,8294400
91,16840,8294400
92,16667,8294400
93,16109,8294400
94,16576,8294400
95,17520,8294400
96,16600,8294400
97,16025,8294400
98,16883,8294400
99,17172,8294400
100,15509,8294400
101,19242,8294400
102,15477,8294400
103,20743,8294400
104,33426,8294400
105,28576,8294400
106,15385,8294400
107,17089,8294400
108,18011,8294400
109,16251,8294400
110,15366,8294400
111,17728,8294400
112,17018,8294400
113,15851,8294400
114,17225,8294400
115,16886,8294400
116,16317,8294400
117,15995,8294400
118,17571,8294400
119,16971,8294400
