frame_index,duration_us,output_bytes
0,14766,8294400
1,21310,8294400
2,14396,8294400
3,19195,8294400
4,18628,8294400
5,27816,8294400
6,16537,8294400
7,17183,8294400
8,15648,8294400
9,17695,8294400
10,17111,8294400
11,15164,8294400
12,18110,8294400
13,16114,8294400
14,16034,8294400
15,16800,8294400
16,17330,8294400
17,15070,8294400
18,18475,8294400
19,15816,8294400
20,16933,8294400
21,18724,8294400
22,14744,8294400
23,16572,8294400
24,17768,8294400
25,16245,8294400
26,15725,8294400
27,17701,8294400
28,16666,8294400
29,15748,8294400
30,17584,8294400
31,16602,8294400
32,15759,8294400
33,19063,8294400
34,15919,8294400
35,14342,8294400
36,18323,8294400
37,16937,8294400
38,16453,8294400
39,16738,8294400
40,16852,8294400
41,14708,8294400
42,19136,8294400
43,14887,8294400
44,16114,8294400
45,18218,8294400
46,20509,8294400
47,32135,8294400
48,17725,8294400
49,35181,8294400
50,30246,8294400
51,14930,8294400
52,16216,8294400
53,14872,8294400
54,19001,8294400
55,15657,8294400
56,15863,8294400
57,16704,8294400
58,18159,8294400
59,15139,8294400
60,21209,8294400
61,28994,8294400
62,16844,8294400
63,16822,8294400
64,15988,8294400
65,17200,8294400
66,16785,8294400
67,15129,8294400
68,18129,8294400
69,16162,8294400
70,17929,8294400
71,15791,8294400
72,17034,8294400
73,15653,8294400
74,17775,8294400
75,17689,8294400
76,14920,8294400
77,17614,8294400
78,16124,8294400
79,15668,8294400
80,18289,8294400
81,16877,8294400
82,14893,8294400
83,18326,8294400
84,16242,8294400
85,16312,8294400
86,18653,8294400
87,14783,8294400
88,16244,8294400
89,17257,8294400
90,16514,8294400
91,15682,8294400
92,18492,8294400
93,16083,8294400
94,16317,8294400
95,17174,8294400
96,17016,8294400
97,16213,8294400
98,17018,8294400
99,17421,8294400
100,14835,8294400
101,18123,8294400
102,17274,8294400
103,14847,8294400
104,17724,8294400
105,16733,8294400
106,15698,8294400
107,17676,8294400
108,15527,8294400
109,16933,8294400
110,17216,8294400
111,17851,8294400
112,15562,8294400
113,16406,8294400
114,17479,8294400
115,14833,8294400
116,19171,8294400
117,15583,8294400
118,19157,8294400
119,14691,8294400
