frame_index,duration_us,output_bytes
0,17176,8294400
1,15821,8294400
2,21776,8294400
3,29110,8294400
4,16294,8294400
5,16735,8294400
6,16045,8294400
7,16792,8294400
8,17149,8294400
9,16474,8294400
10,16794,8294400
11,16871,8294400
12,16653,8294400
13,16449,8294400
14,16987,8294400
15,16648,8294400
16,16611,8294400
17,17698,8294400
18,15487,8294400
19,16639,8294400
20,16152,8294400
21,17708,8294400
22,16378,8294400
23,16699,8294400
24,16084,8294400
25,16828,8294400
26,17273,8294400
27,16586,8294400
28,16113,8294400
29,16771,8294400
30,17245,8294400
31,17781,8294400
32,14688,8294400
33,20871,8294400
34,30268,8294400
35,17005,8294400
36,16026,8294400
37,16116,8294400
38,17009,8294400
39,16568,8294400
40,16809,8294400
41,16411,8294400
42,16952,8294400
43,16386,8294400
44,16395,8294400
45,17043,8294400
46,16768,8294400
47,16279,8294400
48,16871,8294400
49,16210,8294400
50,17405,8294400
51,17394,8294400
52,15678,8294400
53,16571,8294400
54,16561,8294400
55,16219,8294400
56,17237,8294400
57,16484,8294400
58,16770,8294400
59,16347,8294400
60,16901,8294400
61,16263,8294400
62,17237,8294400
63,16394,8294400
64,17163,8294400
65,16310,8294400
66,16865,8294400
67,16147,8294400
68,16823,8294400
69,16810,8294400
70,16996,8294400
71,16893,8294400
72,16450,8294400
73,16691,8294400
74,16663,8294400
75,16197,8294400
76,18089,8294400
77,15883,8294400
78,16037,8294400
79,17168,8294400
80,16855,8294400
81,16464,8294400
82,16779,8294400
83,16127,8294400
84,16619,8294400
85,17512,8294400
86,16376,8294400
87,16155,8294400
88,16738,8294400
89,18079,8294400
90,16316,8294400
91,20992,8294400
92,32037,8294400
93,29841,8294400
94,16880,8294400
95,16134,8294400
96,16656,8294400
97,16479,8294400
98,16691,8294400
99,16918,8294400
100,16470,8294400
101,17183,8294400
102,16190,8294400
103,16479,8294400
104,16871,8294400
105,16333,8294400
106,16711,8294400
107,16660,8294400
108,17443,8294400
109,15963,8294400
110,17030,8294400
111,16763,8294400
112,16266,8294400
113,16266,8294400
114,17154,8294400
115,16914,8294400
116,16170,8294400
117,16758,8294400
118,17468,8294400
119,16181,8294400
