frame_index,duration_us,output_bytes
0,16254,8294400
1,16441,8294400
2,18491,8294400
3,15834,8294400
4,15866,8294400
5,17395,8294400
6,16523,8294400
7,16922,8294400
8,16662,8294400
9,16789,8294400
10,16555,8294400
11,16617,8294400
12,16292,8294400
13,16116,8294400
14,16479,8294400
15,17444,8294400
16,18871,8294400
17,16161,8294400
18,15864,8294400
19,17628,8294400
20,15767,8294400
21,18067,8294400
22,16556,8294400
23,17961,8294400
24,17036,8294400
25,15046,8294400
26,15997,8294400
27,18023,8294400
28,18523,8294400
29,12561,8294400
30,16820,8294400
31,15920,8294400
32,17077,8294400
33,17085,8294400
34,16144,8294400
35,16447,8294400
36,16715,8294400
37,17069,8294400
38,17033,8294400
39,20921,8294400
40,31150,8294400
41,14485,8294400
42,15837,8294400
43,15766,8294400
44,19523,8294400
45,17247,8294400
46,21071,8294400
47,30425,8294400
48,13253,8294400
49,16520,8294400
50,16968,8294400
51,16930,8294400
52,16239,8294400
53,17041,8294400
54,17129,8294400
55,17584,8294400
56,15832,8294400
57,17503,8294400
58,15919,8294400
59,16754,8294400
60,16970,8294400
61,15224,8294400
62,17496,8294400
63,16573,8294400
64,17490,8294400
65,15756,8294400
66,16945,8294400
67,15006,8294400
68,17173,8294400
69,16340,8294400
70,15826,8294400
71,17427,8294400
72,17033,8294400
73,17193,8294400
74,15570,8294400
75,16831,8294400
76,18459,8294400
77,15479,8294400
78,16003,8294400
79,17542,8294400
80,16919,8294400
81,15927,8294400
82,16441,8294400
83,19985,8294400
84,23048,8294400
85,29519,8294400
86,29241,8294400
87,16584,8294400
88,21194,8294400
89,33152,8294400
90,29414,8294400
91,16384,8294400
92,16302,8294400
93,16865,8294400
94,17983,8294400
95,15900,8294400
96,17337,8294400
97,15549,8294400
98,16111,8294400
99,16752,8294400
100,16111,8294400
101,16491,8294400
102,16780,8294400
103,16339,8294400
104,17284,8294400
105,18380,8294400
106,17053,8294400
107,16969,8294400
108,15567,8294400
109,16746,8294400
110,14951,8294400
111,16772,8294400
112,21027,8294400
113,33547,8294400
114,33927,8294400
115,28982,8294400
116,17045,8294400
117,17208,8294400
118,15984,8294400
119,15572,8294400
