frame,latency_us
0,8662
1,12680
2,13549
3,14221
4,14328
5,14480
6,14538
7,14579
8,14774
9,14784
10,14851
11,15029
12,15032
13,15035
14,15037
15,15037
16,15041
17,15055
18,15057
19,15058
20,15070
21,15075
22,15158
23,15176
24,15189
25,15222
26,15266
27,15278
28,15283
29,15320
30,15336
31,15337
32,15342
33,15367
34,15373
35,15405
36,15411
37,15414
38,15416
39,15430
40,15440
41,15486
42,15502
43,15512
44,15514
45,15515
46,15534
47,15534
48,15535
49,15537
50,15537
51,15538
52,15538
53,15540
54,15541
55,15541
56,15541
57,15542
58,15542
59,15542
60,15544
61,15544
62,15544
63,15544
64,15545
65,15545
66,15545
67,15546
68,15546
69,15546
70,15546
71,15546
72,15547
73,15547
74,15548
75,15549
76,15549
77,15549
78,15549
79,15549
80,15550
81,15553
82,15554
83,15554
84,15555
85,15555
86,15555
87,15556
88,15556
89,15557
90,15560
91,15561
92,15561
93,15563
94,15564
95,15564
96,15565
97,15568
98,15569
99,15569
100,15572
101,15574
102,15574
103,15574
104,15575
105,15581
106,15581
107,15590
108,15597
109,15602
110,15602
111,15605
112,15606
113,15611
114,15611
115,15616
116,15621
117,15623
118,15631
119,15632
120,15633
121,15636
122,15638
123,15646
124,15653
125,15658
126,15666
127,15666
128,15668
129,15676
130,15679
131,15683
132,15694
133,15703
134,15704
135,15704
136,15704
137,15705
138,15709
139,15712
140,15716
141,15722
142,15730
143,15733
144,15741
145,15746
146,15748
147,15750
148,15753
149,15759
150,15773
151,15776
152,15783
153,15785
154,15788
155,15796
156,15799
157,15813
158,15817
159,15828
160,15829
161,15831
162,15842
163,15843
164,15869
165,15873
166,15876
167,15881
168,15891
169,15903
170,15909
171,15957
172,15968
173,15969
174,15979
175,15987
176,15996
177,15996
178,15999
179,16013
180,16014
181,16022
182,16027
183,16033
184,16039
185,16040
186,16040
187,16040
188,16043
189,16043
190,16043
191,16043
192,16045
193,16045
194,16047
195,16051
196,16055
197,16055
198,16056
199,16058
200,16063
201,16068
202,16068
203,16068
204,16071
205,16074
206,16080
207,16087
208,16087
209,16088
210,16090
211,16091
212,16093
213,16095
214,16102
215,16104
216,16109
217,16112
218,16119
219,16121
220,16128
221,16143
222,16143
223,16143
224,16146
225,16148
226,16152
227,16159
228,16160
229,16165
230,16176
231,16176
232,16180
233,16182
234,16185
235,16202
236,16206
237,16211
238,16224
239,16228
240,16235
241,16235
242,16244
243,16249
244,16249
245,16250
246,16252
247,16264
248,16276
249,16280
250,16290
