test,frame,latency_ms
blocking,0,16.591
blocking,1,16.693
blocking,2,16.270
blocking,3,16.556
blocking,4,16.363
blocking,5,17.077
blocking,6,16.939
blocking,7,16.218
blocking,8,15.564
blocking,9,16.585
blocking,10,16.220
blocking,11,15.579
blocking,12,16.253
blocking,13,16.630
blocking,14,16.985
blocking,15,17.306
blocking,16,15.707
blocking,17,16.368
blocking,18,16.092
blocking,19,16.376
blocking,20,16.098
blocking,21,16.571
blocking,22,17.414
blocking,23,16.156
blocking,24,17.465
blocking,25,15.596
blocking,26,16.445
blocking,27,17.273
blocking,28,16.081
blocking,29,16.581
blocking,30,17.061
blocking,31,15.860
blocking,32,16.067
blocking,33,16.564
blocking,34,15.989
blocking,35,16.093
blocking,36,16.580
blocking,37,16.423
blocking,38,16.547
blocking,39,16.571
blocking,40,16.848
blocking,41,16.134
blocking,42,16.520
blocking,43,17.114
blocking,44,16.078
blocking,45,16.737
blocking,46,16.721
blocking,47,16.056
blocking,48,17.002
blocking,49,16.062
blocking,50,16.638
blocking,51,16.473
blocking,52,17.455
blocking,53,16.125
blocking,54,17.505
blocking,55,16.024
blocking,56,16.068
blocking,57,16.582
blocking,58,15.873
blocking,59,16.094
blocking,60,16.922
blocking,61,16.647
blocking,62,16.155
blocking,63,17.104
blocking,64,16.009
blocking,65,16.071
blocking,66,17.077
blocking,67,16.025
blocking,68,16.084
blocking,69,16.979
blocking,70,16.271
blocking,71,16.077
blocking,72,16.944
blocking,73,16.035
blocking,74,16.097
blocking,75,16.308
blocking,76,17.036
blocking,77,16.729
blocking,78,16.675
blocking,79,17.026
blocking,80,15.730
blocking,81,17.575
blocking,82,15.022
blocking,83,16.100
blocking,84,16.692
blocking,85,16.715
blocking,86,16.271
blocking,87,17.092
blocking,88,16.833
blocking,89,16.067
blocking,90,16.157
blocking,91,16.675
blocking,92,16.062
blocking,93,16.824
blocking,94,16.524
blocking,95,16.937
blocking,96,16.175
blocking,97,17.033
blocking,98,15.882
blocking,99,17.074
blocking,100,16.563
blocking,101,16.456
blocking,102,16.075
blocking,103,16.577
blocking,104,17.524
blocking,105,16.147
blocking,106,17.109
blocking,107,16.739
blocking,108,16.255
blocking,109,17.032
blocking,110,16.247
blocking,111,15.550
blocking,112,17.594
blocking,113,16.271
blocking,114,16.100
blocking,115,16.911
blocking,116,16.311
blocking,117,15.590
blocking,118,17.029
blocking,119,16.616
blocking,120,16.116
blocking,121,17.030
blocking,122,16.279
blocking,123,16.717
blocking,124,16.687
blocking,125,17.327
blocking,126,15.148
blocking,127,18.583
blocking,128,15.967
blocking,129,15.562
blocking,130,18.046
blocking,131,15.783
blocking,132,15.105
blocking,133,18.281
blocking,134,15.901
blocking,135,16.353
blocking,136,17.053
blocking,137,16.564
blocking,138,15.109
blocking,139,17.697
blocking,140,17.182
blocking,141,15.191
blocking,142,17.581
blocking,143,16.394
blocking,144,15.965
blocking,145,17.575
blocking,146,16.083
blocking,147,15.567
blocking,148,16.571
blocking,149,16.568
blocking,150,15.594
blocking,151,18.048
blocking,152,16.361
blocking,153,16.076
blocking,154,17.537
blocking,155,16.073
blocking,156,15.531
blocking,157,17.571
blocking,158,16.892
blocking,159,16.573
blocking,160,16.616
blocking,161,17.316
blocking,162,16.155
blocking,163,17.027
blocking,164,16.098
blocking,165,16.083
blocking,166,16.821
blocking,167,16.088
blocking,168,16.858
blocking,169,16.185
blocking,170,16.875
blocking,171,16.488
blocking,172,16.694
blocking,173,16.189
blocking,174,16.152
blocking,175,16.552
blocking,176,16.541
