test,frame,latency_ms
blocking,0,16.034
blocking,1,15.551
blocking,2,15.544
blocking,3,16.052
blocking,4,15.541
blocking,5,16.046
blocking,6,15.545
blocking,7,16.142
blocking,8,15.543
blocking,9,16.045
blocking,10,15.557
blocking,11,16.050
blocking,12,16.518
blocking,13,16.541
blocking,14,16.689
blocking,15,16.040
blocking,16,15.555
blocking,17,16.040
blocking,18,15.560
blocking,19,15.673
blocking,20,17.840
blocking,21,15.703
blocking,22,15.545
blocking,23,16.679
blocking,24,15.552
blocking,25,16.064
blocking,26,16.623
blocking,27,16.526
blocking,28,16.038
blocking,29,16.404
blocking,30,16.564
blocking,31,16.937
blocking,32,15.572
blocking,33,16.688
blocking,34,16.603
blocking,35,16.921
blocking,36,15.545
blocking,37,17.064
blocking,38,15.583
blocking,39,15.545
blocking,40,16.042
blocking,41,15.548
blocking,42,16.031
blocking,43,15.546
blocking,44,16.030
blocking,45,15.547
blocking,46,16.042
blocking,47,16.483
blocking,48,16.553
blocking,49,15.672
blocking,50,17.466
blocking,51,15.614
blocking,52,16.422
blocking,53,16.045
blocking,54,15.558
blocking,55,16.569
blocking,56,17.048
blocking,57,16.511
blocking,58,16.553
blocking,59,15.845
blocking,60,15.706
blocking,61,15.558
blocking,62,16.932
blocking,63,15.575
blocking,64,15.557
blocking,65,16.051
blocking,66,15.560
blocking,67,16.907
blocking,68,15.546
blocking,69,16.756
blocking,70,16.378
blocking,71,17.038
blocking,72,16.550
blocking,73,16.395
blocking,74,16.975
blocking,75,16.526
blocking,76,16.033
blocking,77,15.545
blocking,78,16.490
blocking,79,17.441
blocking,80,15.748
blocking,81,15.559
blocking,82,16.464
blocking,83,17.030
blocking,84,16.417
blocking,85,16.077
blocking,86,16.676
blocking,87,16.507
blocking,88,16.453
blocking,89,16.986
blocking,90,15.557
blocking,91,15.511
blocking,92,16.541
blocking,93,16.553
blocking,94,15.658
blocking,95,15.558
blocking,96,16.893
blocking,97,15.546
blocking,98,17.024
blocking,99,16.445
blocking,100,16.053
blocking,101,16.425
blocking,102,17.936
blocking,103,15.459
blocking,104,16.592
blocking,105,16.564
blocking,106,16.075
blocking,107,16.849
blocking,108,16.849
blocking,109,15.333
blocking,110,15.591
blocking,111,15.737
blocking,112,16.832
blocking,113,16.689
blocking,114,15.423
blocking,115,16.869
blocking,116,15.326
blocking,117,16.208
blocking,118,16.556
blocking,119,16.795
blocking,120,15.042
blocking,121,16.234
blocking,122,15.726
blocking,123,15.997
blocking,124,16.411
blocking,125,16.784
blocking,126,16.297
blocking,127,16.879
blocking,128,15.695
blocking,129,16.313
blocking,130,16.661
blocking,131,16.885
blocking,132,16.096
blocking,133,16.851
blocking,134,15.397
blocking,135,15.648
blocking,136,16.841
blocking,137,15.463
blocking,138,16.734
blocking,139,16.851
blocking,140,16.636
blocking,141,16.463
blocking,142,16.309
blocking,143,17.010
blocking,144,16.245
blocking,145,16.565
blocking,146,15.345
blocking,147,16.608
blocking,148,16.868
blocking,149,16.753
blocking,150,16.105
blocking,151,15.754
blocking,152,16.858
blocking,153,16.404
blocking,154,16.706
blocking,155,15.457
blocking,156,18.328
blocking,157,16.897
blocking,158,15.359
blocking,159,15.826
blocking,160,16.757
blocking,161,16.694
blocking,162,16.910
blocking,163,16.819
blocking,164,16.789
blocking,165,16.360
blocking,166,15.849
blocking,167,15.345
blocking,168,16.555
blocking,169,15.826
blocking,170,16.550
blocking,171,15.429
blocking,172,17.250
blocking,173,16.236
blocking,174,15.888
blocking,175,17.628
blocking,176,16.596
blocking,177,15.461
blocking,178,16.641
blocking,179,16.589
blocking,180,15.548
blocking,181,16.773
blocking,182,15.883
blocking,183,15.749
blocking,184,16.420
blocking,185,16.878
blocking,186,16.465
blocking,187,15.900
blocking,188,16.438
blocking,189,15.415
blocking,190,17.155
blocking,191,16.737
blocking,192,18.963
blocking,193,15.810
blocking,194,16.610
blocking,195,14.542
blocking,196,16.992
blocking,197,16.855
blocking,198,16.755
blocking,199,15.406
blocking,200,16.425
blocking,201,15.925
blocking,202,16.192
blocking,203,16.658
blocking,204,16.912
blocking,205,16.055
blocking,206,16.381
blocking,207,16.663
blocking,208,16.895
blocking,209,16.543
blocking,210,16.424
blocking,211,16.056
blocking,212,16.051
blocking,213,16.295
blocking,214,16.107
blocking,215,17.079
blocking,216,16.567
blocking,217,16.448
blocking,218,15.550
blocking,219,16.041
blocking,220,16.450
blocking,221,16.047
blocking,222,16.423
blocking,223,15.582
blocking,224,17.055
blocking,225,15.577
blocking,226,15.566
blocking,227,15.546
blocking,228,18.591
blocking,229,15.407
blocking,230,17.449
blocking,231,15.381
blocking,232,17.016
blocking,233,15.539
blocking,234,16.938
blocking,235,17.096
blocking,236,15.704
blocking,237,16.542
blocking,238,16.897
blocking,239,16.218
blocking,240,16.781
blocking,241,17.066
blocking,242,15.378
blocking,243,17.098
blocking,244,16.264
blocking,245,15.696
blocking,246,18.559
blocking,247,15.820
blocking,248,15.112
blocking,249,16.499
blocking,250,16.128
blocking,251,15.378
blocking,252,17.072
blocking,253,16.653
blocking,254,16.709
blocking,255,16.715
blocking,256,15.594
blocking,257,15.902
blocking,258,16.668
blocking,259,16.052
blocking,260,16.421
blocking,261,15.943
blocking,262,15.692
blocking,263,15.564
blocking,264,16.600
blocking,265,16.783
blocking,266,16.552
blocking,267,15.540
blocking,268,17.227
blocking,269,15.595
blocking,270,16.717
blocking,271,16.338
blocking,272,16.907
blocking,273,16.816
blocking,274,16.531
blocking,275,17.007
blocking,276,16.067
blocking,277,16.839
blocking,278,15.041
blocking,279,16.623
blocking,280,16.034
blocking,281,15.324
blocking,282,16.638
blocking,283,17.912
blocking,284,16.426
blocking,285,15.829
blocking,286,15.676
blocking,287,16.770
blocking,288,16.351
blocking,289,16.754
blocking,290,16.417
blocking,291,16.093
blocking,292,16.678
blocking,293,16.826
blocking,294,15.453
blocking,295,16.755
blocking,296,16.808
blocking,297,15.242
blocking,298,16.221
blocking,299,16.778
blocking,300,17.045
blocking,301,16.949
blocking,302,16.670
blocking,303,16.392
blocking,304,15.941
blocking,305,16.302
blocking,306,16.641
blocking,307,16.833
blocking,308,16.791
blocking,309,17.662
blocking,310,16.516
blocking,311,16.562
blocking,312,14.921
blocking,313,17.220
blocking,314,16.122
blocking,315,16.582
blocking,316,16.704
blocking,317,16.786
blocking,318,16.298
blocking,319,16.865
blocking,320,16.755
blocking,321,15.653
blocking,322,16.776
blocking,323,17.195
blocking,324,16.877
blocking,325,16.898
blocking,326,15.396
blocking,327,17.821
blocking,328,17.077
blocking,329,16.767
blocking,330,15.316
blocking,331,16.151
blocking,332,16.708
blocking,333,15.537
blocking,334,15.201
blocking,335,17.625
blocking,336,15.752
blocking,337,17.243
blocking,338,16.975
blocking,339,15.815
blocking,340,16.582
blocking,341,16.479
blocking,342,16.567
blocking,343,16.565
blocking,344,15.544
blocking,345,15.156
blocking,346,16.271
blocking,347,17.301
blocking,348,16.075
blocking,349,15.341
blocking,350,16.777
blocking,351,17.648
blocking,352,16.934
blocking,353,16.460
blocking,354,16.446
blocking,355,16.872
blocking,356,16.526
blocking,357,15.719
blocking,358,15.771
blocking,359,16.184
blocking,360,16.973
blocking,361,16.696
blocking,362,15.376
blocking,363,18.106
blocking,364,16.573
blocking,365,16.165
blocking,366,14.831
blocking,367,17.569
blocking,368,16.605
blocking,369,15.456
blocking,370,16.224
blocking,371,16.257
blocking,372,16.407
blocking,373,16.763
blocking,374,16.731
blocking,375,15.564
blocking,376,15.635
blocking,377,15.228
blocking,378,17.094
blocking,379,16.242
blocking,380,16.608
blocking,381,17.794
blocking,382,17.582
blocking,383,15.568
blocking,384,13.702
blocking,385,17.334
blocking,386,16.445
blocking,387,15.741
blocking,388,16.718
blocking,389,16.748
blocking,390,15.128
blocking,391,16.708
blocking,392,16.533
blocking,393,15.573
blocking,394,17.444
blocking,395,16.178
blocking,396,15.669
blocking,397,15.818
blocking,398,16.946
blocking,399,15.565
blocking,400,16.828
blocking,401,15.555
blocking,402,16.055
blocking,403,16.386
blocking,404,17.059
blocking,405,15.401
blocking,406,16.832
blocking,407,15.328
blocking,408,17.127
blocking,409,15.818
blocking,410,16.794
blocking,411,16.280
blocking,412,16.686
blocking,413,16.437
blocking,414,16.965
blocking,415,16.238
blocking,416,16.810
blocking,417,16.676
blocking,418,16.814
blocking,419,16.766
blocking,420,15.562
blocking,421,16.269
blocking,422,16.389
blocking,423,16.536
blocking,424,16.689
blocking,425,15.737
blocking,426,17.215
blocking,427,16.602
blocking,428,16.263
blocking,429,13.640
blocking,430,15.723
blocking,431,16.128
blocking,432,16.269
blocking,433,16.313
blocking,434,16.785
blocking,435,15.587
blocking,436,16.551
blocking,437,15.037
blocking,438,17.084
blocking,439,17.304
blocking,440,16.919
blocking,441,15.499
blocking,442,16.555
blocking,443,16.726
blocking,444,17.760
blocking,445,17.051
blocking,446,16.266
blocking,447,14.046
blocking,448,16.728
blocking,449,16.719
blocking,450,16.595
blocking,451,15.885
blocking,452,17.070
blocking,453,15.673
blocking,454,16.869
blocking,455,17.019
blocking,456,16.278
blocking,457,17.256
blocking,458,15.484
blocking,459,16.754
blocking,460,15.545
blocking,461,16.553
blocking,462,16.604
blocking,463,15.568
blocking,464,16.544
blocking,465,15.657
blocking,466,17.400
blocking,467,16.396
blocking,468,16.859
blocking,469,15.842
blocking,470,16.800
blocking,471,15.543
blocking,472,16.252
blocking,473,15.033
blocking,474,15.547
blocking,475,15.777
blocking,476,16.584
blocking,477,15.559
blocking,478,16.804
blocking,479,16.803
blocking,480,15.577
blocking,481,16.234
blocking,482,16.388
blocking,483,15.743
blocking,484,16.824
blocking,485,16.617
blocking,486,15.697
blocking,487,16.282
blocking,488,16.644
blocking,489,15.706
blocking,490,16.166
blocking,491,16.816
blocking,492,16.721
blocking,493,17.238
blocking,494,15.302
blocking,495,16.708
blocking,496,16.673
blocking,497,16.723
blocking,498,15.522
blocking,499,16.392
blocking,500,16.915
blocking,501,15.974
blocking,502,17.369
blocking,503,15.833
blocking,504,16.899
blocking,505,16.331
blocking,506,16.717
blocking,507,15.723
blocking,508,17.849
blocking,509,16.617
blocking,510,16.226
blocking,511,16.246
blocking,512,17.381
blocking,513,16.640
blocking,514,42.984
blocking,515,17.431
blocking,516,13.200
blocking,517,15.659
blocking,518,16.562
blocking,519,16.561
blocking,520,16.425
blocking,521,16.719
blocking,522,14.550
blocking,523,15.993
blocking,524,16.915
blocking,525,16.354
blocking,526,16.434
blocking,527,16.058
blocking,528,15.537
blocking,529,16.846
blocking,530,17.399
blocking,531,16.282
blocking,532,15.596
blocking,533,16.059
blocking,534,16.654
blocking,535,16.629
blocking,536,16.708
blocking,537,15.566
blocking,538,16.556
blocking,539,16.023
blocking,540,16.528
blocking,541,15.563
blocking,542,16.928
blocking,543,16.363
blocking,544,16.856
blocking,545,15.662
blocking,546,16.292
blocking,547,16.238
blocking,548,16.343
blocking,549,15.783
blocking,550,16.848
blocking,551,16.674
blocking,552,16.737
blocking,553,16.340
blocking,554,16.448
blocking,555,15.546
blocking,556,16.224
blocking,557,16.724
blocking,558,16.828
blocking,559,15.185
blocking,560,17.233
blocking,561,16.225
blocking,562,16.987
blocking,563,15.809
blocking,564,16.906
blocking,565,16.412
blocking,566,16.144
blocking,567,16.758
blocking,568,15.799
blocking,569,16.336
blocking,570,18.111
blocking,571,15.038
blocking,572,17.757
blocking,573,16.210
blocking,574,16.721
blocking,575,16.054
blocking,576,16.475
blocking,577,16.184
blocking,578,17.106
blocking,579,15.539
blocking,580,17.386
blocking,581,16.310
blocking,582,16.067
blocking,583,15.736
blocking,584,16.601
blocking,585,16.083
blocking,586,16.438
blocking,587,16.084
blocking,588,15.876
blocking,589,16.283
blocking,590,17.057
blocking,591,16.601
blocking,592,16.332
blocking,593,17.010
blocking,594,16.552
blocking,595,15.753
blocking,596,16.059
blocking,597,16.270
blocking,598,16.711
blocking,599,16.693
polling,0,0.000
polling,1,0.000
polling,2,0.000
polling,3,0.000
polling,4,0.000
polling,5,0.000
polling,6,0.000
polling,7,0.000
polling,8,0.000
polling,9,0.000
polling,10,0.000
polling,11,0.000
polling,12,0.000
polling,13,0.000
polling,14,0.000
polling,15,0.000
polling,16,0.000
polling,17,0.000
polling,18,0.000
polling,19,0.000
polling,20,0.000
polling,21,0.000
polling,22,0.000
polling,23,0.000
polling,24,0.000
