frame_index,duration_us,output_bytes
0,15693,8294400
1,16358,8294400
2,16578,8294400
3,17181,8294400
4,15813,8294400
5,16863,8294400
6,16640,8294400
7,17313,8294400
8,15741,8294400
9,18248,8294400
10,16447,8294400
11,16197,8294400
12,17398,8294400
13,15461,8294400
14,16944,8294400
15,16894,8294400
16,16562,8294400
17,16413,8294400
18,17083,8294400
19,17199,8294400
20,15502,8294400
21,19171,8294400
22,31232,8294400
23,17077,8294400
24,16642,8294400
25,15846,8294400
26,17127,8294400
27,16342,8294400
28,16529,8294400
29,17246,8294400
30,16025,8294400
31,17307,8294400
32,16307,8294400
33,17646,8294400
34,14988,8294400
35,16925,8294400
36,16907,8294400
37,16754,8294400
38,16973,8294400
39,15682,8294400
40,17424,8294400
41,17419,8294400
42,16493,8294400
43,15969,8294400
44,17300,8294400
45,16047,8294400
46,17301,8294400
47,16307,8294400
48,16320,8294400
49,16358,8294400
50,16749,8294400
51,16528,8294400
52,17783,8294400
53,15887,8294400
54,18145,8294400
55,16418,8294400
56,16131,8294400
57,15737,8294400
58,16626,8294400
59,17243,8294400
60,16559,8294400
61,17334,8294400
62,16811,8294400
63,16144,8294400
64,16590,8294400
65,16428,8294400
66,17149,8294400
67,15998,8294400
68,17282,8294400
69,16149,8294400
70,17232,8294400
71,16339,8294400
72,16919,8294400
73,16279,8294400
74,18744,8294400
75,31289,8294400
76,17129,8294400
77,16558,8294400
78,16846,8294400
79,16738,8294400
80,17110,8294400
81,15698,8294400
82,17162,8294400
83,16619,8294400
84,16357,8294400
85,16761,8294400
86,16568,8294400
87,16158,8294400
88,17132,8294400
89,16236,8294400
90,17121,8294400
91,16292,8294400
92,17016,8294400
93,16440,8294400
94,16422,8294400
95,17315,8294400
96,16729,8294400
97,16573,8294400
98,16184,8294400
99,16791,8294400
100,16682,8294400
101,17200,8294400
102,15955,8294400
103,17539,8294400
104,16710,8294400
105,16814,8294400
106,15294,8294400
107,16510,8294400
108,16921,8294400
109,17977,8294400
110,15299,8294400
111,17044,8294400
112,16853,8294400
113,17325,8294400
114,16618,8294400
115,16106,8294400
116,17431,8294400
117,15265,8294400
118,16994,8294400
119,17621,8294400
