frame_index,duration_us,output_bytes
0,32639,8294400
1,17884,8294400
2,32472,8294400
3,15989,8294400
4,17042,8294400
5,15791,8294400
6,17337,8294400
7,16171,8294400
8,17077,8294400
9,16446,8294400
10,16239,8294400
11,17212,8294400
12,16679,8294400
13,16555,8294400
14,16595,8294400
15,16966,8294400
16,18091,8294400
17,32621,8294400
18,15557,8294400
19,18407,8294400
20,34082,8294400
21,31834,8294400
22,17811,8294400
23,32116,8294400
24,16214,8294400
25,16094,8294400
26,17061,8294400
27,16431,8294400
28,17218,8294400
29,17247,8294400
30,16407,8294400
31,18930,8294400
32,35491,8294400
33,29818,8294400
34,32712,8294400
35,16207,8294400
36,18442,8294400
37,31534,8294400
38,15946,8294400
39,16273,8294400
40,19221,8294400
41,31808,8294400
42,16884,8294400
43,16562,8294400
44,16070,8294400
45,17055,8294400
46,17621,8294400
47,33148,8294400
48,15673,8294400
49,17676,8294400
50,14856,8294400
51,17228,8294400
52,17238,8294400
53,16918,8294400
54,15904,8294400
55,16554,8294400
56,17641,8294400
57,16254,8294400
58,15866,8294400
59,17471,8294400
60,15232,8294400
61,17189,8294400
62,19092,8294400
63,32467,8294400
64,15778,8294400
65,18534,8294400
66,32106,8294400
67,16497,8294400
68,18175,8294400
69,32076,8294400
70,16968,8294400
71,15673,8294400
72,16400,8294400
73,17364,8294400
74,16810,8294400
75,16749,8294400
76,16375,8294400
77,17641,8294400
78,33865,8294400
79,32603,8294400
80,19882,8294400
81,30909,8294400
82,32406,8294400
83,32481,8294400
84,16455,8294400
85,18378,8294400
86,32385,8294400
87,16891,8294400
88,14905,8294400
89,17403,8294400
90,17513,8294400
91,15670,8294400
92,16436,8294400
93,17679,8294400
94,16071,8294400
95,17054,8294400
96,17733,8294400
97,32826,8294400
98,16896,8294400
99,32386,8294400
100,16910,8294400
101,16135,8294400
102,16989,8294400
103,17079,8294400
104,15918,8294400
105,17131,8294400
106,17202,8294400
107,16039,8294400
108,16810,8294400
109,16159,8294400
110,17195,8294400
111,15619,8294400
112,17550,8294400
113,17545,8294400
114,32352,8294400
115,17135,8294400
116,17509,8294400
117,33460,8294400
118,32797,8294400
119,32528,8294400
