frame_index,duration_us,output_bytes
0,18311,8294400
1,18753,8294400
2,35389,8294400
3,31503,8294400
4,34619,8294400
5,35101,8294400
6,30552,8294400
7,28684,8294400
8,18686,8294400
9,16828,8294400
10,14978,8294400
11,17947,8294400
12,16253,8294400
13,17086,8294400
14,16302,8294400
15,16914,8294400
16,15841,8294400
17,17651,8294400
18,17151,8294400
19,14761,8294400
20,17268,8294400
21,16927,8294400
22,15373,8294400
23,19221,8294400
24,16739,8294400
25,15862,8294400
26,15619,8294400
27,17491,8294400
28,15895,8294400
29,17590,8294400
30,19404,8294400
31,30511,8294400
32,18445,8294400
33,33041,8294400
34,31802,8294400
35,17961,8294400
36,30903,8294400
37,16883,8294400
38,17419,8294400
39,14884,8294400
40,17896,8294400
41,16989,8294400
42,16328,8294400
43,15823,8294400
44,16069,8294400
45,18508,8294400
46,16666,8294400
47,15199,8294400
48,18195,8294400
49,16430,8294400
50,16935,8294400
51,15339,8294400
52,16390,8294400
53,17186,8294400
54,17120,8294400
55,16159,8294400
56,16414,8294400
57,19987,8294400
58,31581,8294400
59,15761,8294400
60,17562,8294400
61,16252,8294400
62,15542,8294400
63,16486,8294400
64,17154,8294400
65,16234,8294400
66,16445,8294400
67,17275,8294400
68,17066,8294400
69,15227,8294400
70,17463,8294400
71,16862,8294400
72,17171,8294400
73,17195,8294400
74,14896,8294400
75,17512,8294400
76,17143,8294400
77,15964,8294400
78,16427,8294400
79,16551,8294400
80,17021,8294400
81,17585,8294400
82,15785,8294400
83,17110,8294400
84,17744,8294400
85,15404,8294400
86,15170,8294400
87,18970,8294400
88,16352,8294400
89,15860,8294400
90,16739,8294400
91,15634,8294400
92,19095,8294400
93,15437,8294400
94,15656,8294400
95,16884,8294400
96,18281,8294400
97,15543,8294400
98,16566,8294400
99,16652,8294400
100,16901,8294400
101,16273,8294400
102,16974,8294400
103,16121,8294400
104,17879,8294400
105,16728,8294400
106,15425,8294400
107,17369,8294400
108,17533,8294400
109,16722,8294400
110,15050,8294400
111,17783,8294400
112,15950,8294400
113,16392,8294400
114,16964,8294400
115,17960,8294400
116,16582,8294400
117,18893,8294400
118,30504,8294400
119,17377,8294400
