frame_index,duration_us,output_bytes
0,17275,8294400
1,17243,8294400
2,15742,8294400
3,16911,8294400
4,17642,8294400
5,15546,8294400
6,16365,8294400
7,18124,8294400
8,15210,8294400
9,17430,8294400
10,17829,8294400
11,14982,8294400
12,17017,8294400
13,17279,8294400
14,15253,8294400
15,17237,8294400
16,17710,8294400
17,15902,8294400
18,16018,8294400
19,17858,8294400
20,15784,8294400
21,17191,8294400
22,17183,8294400
23,15677,8294400
24,17627,8294400
25,16957,8294400
26,15146,8294400
27,17334,8294400
28,17393,8294400
29,15036,8294400
30,17688,8294400
31,17224,8294400
32,15483,8294400
33,17022,8294400
34,17823,8294400
35,17764,8294400
36,35679,8294400
37,29324,8294400
38,17057,8294400
39,15403,8294400
40,17216,8294400
41,17592,8294400
42,15591,8294400
43,16624,8294400
44,20697,8294400
45,30745,8294400
46,17498,8294400
47,32722,8294400
48,18928,8294400
49,29900,8294400
50,17262,8294400
51,15085,8294400
52,16447,8294400
53,20546,8294400
54,29931,8294400
55,17183,8294400
56,15379,8294400
57,19112,8294400
58,17274,8294400
59,15116,8294400
60,16351,8294400
61,17681,8294400
62,15681,8294400
63,15634,8294400
64,18415,8294400
65,14991,8294400
66,17422,8294400
67,17352,8294400
68,15792,8294400
69,16666,8294400
70,17964,8294400
71,14877,8294400
72,17535,8294400
73,17449,8294400
74,16408,8294400
75,16548,8294400
76,16115,8294400
77,16730,8294400
78,16154,8294400
79,17401,8294400
80,16896,8294400
81,16296,8294400
82,16613,8294400
83,16267,8294400
84,16654,8294400
85,18295,8294400
86,14838,8294400
87,16998,8294400
88,19355,8294400
89,30747,8294400
90,20998,8294400
91,28597,8294400
92,18024,8294400
93,15276,8294400
94,16243,8294400
95,17890,8294400
96,15483,8294400
97,16732,8294400
98,17620,8294400
99,15732,8294400
100,16906,8294400
101,18029,8294400
102,14646,8294400
103,17345,8294400
104,18160,8294400
105,15119,8294400
106,17013,8294400
107,17412,8294400
108,16017,8294400
109,16602,8294400
110,17299,8294400
111,15828,8294400
112,16792,8294400
113,18050,8294400
114,14853,8294400
115,16611,8294400
116,17961,8294400
117,15632,8294400
118,17175,8294400
119,17270,8294400
