frame_index,duration_us,output_bytes
0,17131,8294400
1,15770,8294400
2,17516,8294400
3,16014,8294400
4,17092,8294400
5,16524,8294400
6,16724,8294400
7,16856,8294400
8,15681,8294400
9,17318,8294400
10,17186,8294400
11,16015,8294400
12,17493,8294400
13,15646,8294400
14,17249,8294400
15,16088,8294400
16,17242,8294400
17,17262,8294400
18,14965,8294400
19,18448,8294400
20,16846,8294400
21,14731,8294400
22,17366,8294400
23,16592,8294400
24,16019,8294400
25,17319,8294400
26,16922,8294400
27,15922,8294400
28,17136,8294400
29,16418,8294400
30,17232,8294400
31,16552,8294400
32,17012,8294400
33,15693,8294400
34,16531,8294400
35,17838,8294400
36,15996,8294400
37,16993,8294400
38,16096,8294400
39,16319,8294400
40,18816,8294400
41,16302,8294400
42,17599,8294400
43,14728,8294400
44,17094,8294400
45,15343,8294400
46,18550,8294400
47,15417,8294400
48,17188,8294400
49,16805,8294400
50,16150,8294400
51,16677,8294400
52,17079,8294400
53,16389,8294400
54,16648,8294400
55,16881,8294400
56,16956,8294400
57,16437,8294400
58,15583,8294400
59,16992,8294400
