frame_index,duration_us,output_bytes
0,16435,8294400
1,15991,8294400
2,17688,8294400
3,16085,8294400
4,15722,8294400
5,16971,8294400
6,17350,8294400
7,17063,8294400
8,15812,8294400
9,16856,8294400
10,17227,8294400
11,17362,8294400
12,15104,8294400
13,21576,8294400
14,29518,8294400
15,15358,8294400
16,16899,8294400
17,17742,8294400
18,15800,8294400
19,15999,8294400
20,16692,8294400
21,17367,8294400
22,17407,8294400
23,17336,8294400
24,16224,8294400
25,16591,8294400
26,16750,8294400
27,16499,8294400
28,16569,8294400
29,16321,8294400
30,16814,8294400
31,15650,8294400
32,17609,8294400
33,17434,8294400
34,15534,8294400
35,16280,8294400
36,17363,8294400
37,16454,8294400
38,16362,8294400
39,17244,8294400
40,15936,8294400
41,17087,8294400
42,16622,8294400
43,16319,8294400
44,18023,8294400
45,15544,8294400
46,16831,8294400
47,15927,8294400
48,17343,8294400
49,16960,8294400
50,16769,8294400
51,15787,8294400
52,16917,8294400
53,16836,8294400
54,17165,8294400
55,16815,8294400
56,15663,8294400
57,17220,8294400
58,17178,8294400
59,15064,8294400
60,17716,8294400
61,16580,8294400
62,16947,8294400
63,15605,8294400
64,17202,8294400
65,16797,8294400
66,16659,8294400
67,16092,8294400
68,17666,8294400
69,17001,8294400
70,16974,8294400
71,16149,8294400
72,21523,8294400
73,27897,8294400
74,16336,8294400
75,16669,8294400
76,17771,8294400
77,17566,8294400
78,14500,8294400
79,16833,8294400
80,17196,8294400
81,16435,8294400
82,16880,8294400
83,16197,8294400
84,17403,8294400
85,16443,8294400
86,15814,8294400
87,17239,8294400
88,17601,8294400
89,16553,8294400
90,15948,8294400
91,16157,8294400
92,18078,8294400
93,16506,8294400
94,16099,8294400
95,16269,8294400
96,17955,8294400
97,15732,8294400
98,16258,8294400
99,16897,8294400
100,16730,8294400
101,16369,8294400
102,16331,8294400
103,18427,8294400
104,15599,8294400
105,17474,8294400
106,16352,8294400
107,17740,8294400
108,15536,8294400
109,17378,8294400
110,16291,8294400
111,17204,8294400
112,15450,8294400
113,17180,8294400
114,16555,8294400
115,16484,8294400
116,16252,8294400
117,16749,8294400
118,16889,8294400
119,16685,8294400
