frame_index,duration_us,output_bytes
0,16638,8294400
1,16692,8294400
2,16844,8294400
3,15635,8294400
4,17435,8294400
5,16366,8294400
6,17251,8294400
7,16185,8294400
8,17076,8294400
9,16001,8294400
10,17351,8294400
11,16344,8294400
12,16884,8294400
13,16000,8294400
14,17414,8294400
15,16679,8294400
16,16917,8294400
17,16075,8294400
18,16911,8294400
19,17221,8294400
20,15905,8294400
21,15949,8294400
22,18514,8294400
23,16176,8294400
24,20802,8294400
25,32417,8294400
26,29360,8294400
27,16909,8294400
28,17265,8294400
29,16529,8294400
30,15834,8294400
31,16428,8294400
32,16459,8294400
33,17695,8294400
34,16309,8294400
35,17424,8294400
36,15458,8294400
37,17529,8294400
38,16567,8294400
39,15588,8294400
40,17483,8294400
41,16826,8294400
42,16641,8294400
43,17100,8294400
44,15599,8294400
45,17695,8294400
46,15787,8294400
47,16962,8294400
48,16335,8294400
49,17474,8294400
50,15813,8294400
51,16817,8294400
52,16027,8294400
53,17502,8294400
54,16304,8294400
55,17110,8294400
56,16106,8294400
57,16728,8294400
58,16437,8294400
59,17402,8294400
60,16286,8294400
61,17379,8294400
62,16881,8294400
63,15158,8294400
64,17506,8294400
65,16317,8294400
66,17085,8294400
67,17252,8294400
68,15785,8294400
69,16960,8294400
70,16336,8294400
71,17469,8294400
72,16667,8294400
73,15794,8294400
74,17450,8294400
75,16308,8294400
76,17176,8294400
77,16714,8294400
78,16651,8294400
79,16148,8294400
80,17987,8294400
81,15359,8294400
82,17519,8294400
83,19348,8294400
84,29217,8294400
85,17474,8294400
86,16120,8294400
87,17070,8294400
88,15807,8294400
89,17318,8294400
90,15890,8294400
91,17456,8294400
92,16305,8294400
93,17291,8294400
94,16475,8294400
95,16365,8294400
96,16986,8294400
97,18138,8294400
98,15195,8294400
99,16854,8294400
100,17019,8294400
101,15684,8294400
102,17421,8294400
103,16942,8294400
104,16182,8294400
105,16758,8294400
106,15752,8294400
107,17403,8294400
108,16242,8294400
109,18242,8294400
110,15250,8294400
111,16884,8294400
112,16513,8294400
113,17210,8294400
114,16990,8294400
115,16532,8294400
116,16049,8294400
117,17002,8294400
118,16797,8294400
119,16789,8294400
