frame_index,duration_us,output_bytes
0,15425,8294400
1,15703,8294400
2,17562,8294400
3,16092,8294400
4,17469,8294400
5,16198,8294400
6,17058,8294400
7,15979,8294400
8,17537,8294400
9,14669,8294400
10,17361,8294400
11,17284,8294400
12,16712,8294400
13,20420,8294400
14,30188,8294400
15,16451,8294400
16,15468,8294400
17,17258,8294400
18,17906,8294400
19,16699,8294400
20,16859,8294400
21,14969,8294400
22,19273,8294400
23,15154,8294400
24,16011,8294400
25,16996,8294400
26,15188,8294400
27,17195,8294400
28,16566,8294400
29,17029,8294400
30,15605,8294400
31,17265,8294400
32,16764,8294400
33,15667,8294400
34,16788,8294400
35,16713,8294400
36,16606,8294400
37,16139,8294400
38,16952,8294400
39,16149,8294400
40,17332,8294400
41,17155,8294400
42,15945,8294400
43,16378,8294400
44,16914,8294400
45,16769,8294400
46,17518,8294400
47,16902,8294400
48,16830,8294400
49,17752,8294400
50,15736,8294400
51,17259,8294400
52,17132,8294400
53,16611,8294400
54,16072,8294400
55,16154,8294400
56,18291,8294400
57,16752,8294400
58,16544,8294400
59,15545,8294400
60,16239,8294400
61,16708,8294400
62,16548,8294400
63,16729,8294400
64,15794,8294400
65,17318,8294400
66,16177,8294400
67,16483,8294400
68,17476,8294400
69,17665,8294400
70,15362,8294400
71,16262,8294400
72,18278,8294400
73,14815,8294400
74,16790,8294400
75,16697,8294400
76,16518,8294400
77,37219,8294400
78,18261,8294400
79,28368,8294400
80,16583,8294400
81,15618,8294400
82,16421,8294400
83,19034,8294400
84,15874,8294400
85,18119,8294400
86,17573,8294400
87,17621,8294400
88,14840,8294400
89,15463,8294400
90,18456,8294400
91,15595,8294400
92,15184,8294400
93,18247,8294400
94,15700,8294400
95,18820,8294400
96,14923,8294400
97,16445,8294400
98,16804,8294400
99,16180,8294400
100,16057,8294400
101,16070,8294400
102,16857,8294400
103,16594,8294400
104,15999,8294400
105,17148,8294400
106,16328,8294400
107,18792,8294400
108,15029,8294400
109,17401,8294400
110,15979,8294400
111,17007,8294400
112,18105,8294400
113,17398,8294400
114,15539,8294400
115,15714,8294400
116,19187,8294400
117,17722,8294400
118,14915,8294400
119,16555,8294400
