frame_index,duration_us,output_bytes
0,17045,8294400
1,16127,8294400
2,16150,8294400
3,16318,8294400
4,17487,8294400
5,16669,8294400
6,15927,8294400
7,17312,8294400
8,16693,8294400
9,17080,8294400
10,15795,8294400
11,16566,8294400
12,16914,8294400
13,16836,8294400
14,17180,8294400
15,15709,8294400
16,17248,8294400
17,16242,8294400
18,18049,8294400
19,14900,8294400
20,17456,8294400
21,16707,8294400
22,16548,8294400
23,16363,8294400
24,17114,8294400
25,15699,8294400
26,17518,8294400
27,15720,8294400
28,17466,8294400
29,16384,8294400
30,16315,8294400
31,17453,8294400
32,16767,8294400
33,15731,8294400
34,18451,8294400
35,16236,8294400
36,18861,8294400
37,14212,8294400
38,15982,8294400
39,17262,8294400
40,16577,8294400
41,16823,8294400
42,16605,8294400
43,16661,8294400
44,16751,8294400
45,15609,8294400
46,17336,8294400
47,16316,8294400
48,16372,8294400
49,17433,8294400
50,16681,8294400
51,16704,8294400
52,16553,8294400
53,16106,8294400
54,17229,8294400
55,16842,8294400
56,15608,8294400
57,17274,8294400
58,16855,8294400
59,16878,8294400
60,18067,8294400
61,15170,8294400
62,17369,8294400
63,15739,8294400
64,17076,8294400
65,16743,8294400
66,16578,8294400
67,15651,8294400
68,18389,8294400
69,15861,8294400
70,16674,8294400
71,16339,8294400
72,16659,8294400
73,16980,8294400
74,15839,8294400
75,17407,8294400
76,16617,8294400
77,16446,8294400
78,16899,8294400
79,16732,8294400
80,16211,8294400
81,16351,8294400
82,17377,8294400
83,16257,8294400
84,16972,8294400
85,16683,8294400
86,16935,8294400
87,15656,8294400
88,17489,8294400
89,16664,8294400
90,16774,8294400
91,16614,8294400
92,16709,8294400
93,16589,8294400
94,17765,8294400
95,15696,8294400
96,18846,8294400
97,14996,8294400
98,15593,8294400
99,17159,8294400
100,16809,8294400
101,15510,8294400
102,17497,8294400
103,17064,8294400
104,15592,8294400
105,17425,8294400
106,16018,8294400
107,16945,8294400
108,17215,8294400
109,15841,8294400
110,17404,8294400
111,16616,8294400
112,16786,8294400
113,16727,8294400
114,16553,8294400
115,21700,8294400
116,28284,8294400
117,17428,8294400
118,15961,8294400
119,16388,8294400
