frame_index,duration_us,output_bytes
0,16291,8294400
1,17571,8294400
2,16425,8294400
3,16241,8294400
4,17108,8294400
5,16427,8294400
6,15723,8294400
7,17596,8294400
8,16358,8294400
9,16060,8294400
10,17642,8294400
11,17690,8294400
12,13930,8294400
13,22288,8294400
14,29372,8294400
15,16471,8294400
16,16209,8294400
17,16106,8294400
18,17561,8294400
19,16690,8294400
20,15694,8294400
21,18022,8294400
22,16552,8294400
23,15320,8294400
24,17914,8294400
25,16375,8294400
26,15707,8294400
27,17818,8294400
28,16552,8294400
29,16383,8294400
30,17773,8294400
31,16654,8294400
32,16203,8294400
33,16579,8294400
34,16513,8294400
35,17132,8294400
36,16330,8294400
37,16408,8294400
38,16032,8294400
39,16703,8294400
40,17552,8294400
41,15956,8294400
42,18250,8294400
43,16246,8294400
44,16515,8294400
45,16636,8294400
46,16020,8294400
47,16878,8294400
48,16401,8294400
49,17257,8294400
50,16301,8294400
51,17439,8294400
52,16185,8294400
53,16837,8294400
54,15905,8294400
55,17588,8294400
56,15644,8294400
57,16733,8294400
58,17876,8294400
59,14997,8294400
60,18468,8294400
61,15602,8294400
62,17200,8294400
63,15924,8294400
64,17429,8294400
65,15115,8294400
66,18817,8294400
67,15610,8294400
68,15647,8294400
69,17682,8294400
70,18401,8294400
71,14902,8294400
72,21195,8294400
73,32142,8294400
74,29402,8294400
75,16647,8294400
76,16955,8294400
77,16692,8294400
78,16602,8294400
79,17144,8294400
80,15953,8294400
81,16600,8294400
82,17138,8294400
83,16592,8294400
84,17095,8294400
85,16266,8294400
86,16838,8294400
87,15567,8294400
88,21064,8294400
89,44666,8294400
90,23933,8294400
91,32333,8294400
92,32181,8294400
93,30463,8294400
94,15764,8294400
95,19692,8294400
96,14378,8294400
97,15808,8294400
98,17189,8294400
99,16813,8294400
100,16159,8294400
101,17668,8294400
102,16552,8294400
103,15712,8294400
104,17623,8294400
105,16791,8294400
106,15834,8294400
107,17104,8294400
108,17541,8294400
109,15468,8294400
110,17204,8294400
111,17857,8294400
112,14952,8294400
113,17266,8294400
114,16959,8294400
115,16355,8294400
116,18143,8294400
117,14951,8294400
118,16437,8294400
119,17640,8294400
