frame_index,duration_us,output_bytes
0,16517,8294400
1,16110,8294400
2,17472,8294400
3,16157,8294400
4,17058,8294400
5,17649,8294400
6,15739,8294400
7,16178,8294400
8,16761,8294400
9,15443,8294400
10,17039,8294400
11,18450,8294400
12,15614,8294400
13,15929,8294400
14,19485,8294400
15,14830,8294400
16,16812,8294400
17,17656,8294400
18,15793,8294400
19,16194,8294400
20,18501,8294400
21,14879,8294400
22,16912,8294400
23,17380,8294400
24,15835,8294400
25,17245,8294400
26,17587,8294400
27,14893,8294400
28,17391,8294400
29,17431,8294400
30,22612,8294400
31,31884,8294400
32,28126,8294400
33,17518,8294400
34,15713,8294400
35,17212,8294400
36,16804,8294400
37,15901,8294400
38,16509,8294400
39,16957,8294400
40,17308,8294400
41,16345,8294400
42,18085,8294400
43,15689,8294400
44,15024,8294400
45,18479,8294400
46,16928,8294400
47,15309,8294400
48,17098,8294400
49,17109,8294400
50,16539,8294400
51,17736,8294400
52,14729,8294400
53,17259,8294400
54,18063,8294400
55,15892,8294400
56,15883,8294400
57,16724,8294400
58,16424,8294400
59,16583,8294400
60,17162,8294400
61,16265,8294400
62,16298,8294400
63,17681,8294400
64,16024,8294400
65,15783,8294400
66,18486,8294400
67,15982,8294400
68,17400,8294400
69,16124,8294400
70,16997,8294400
71,15523,8294400
72,17588,8294400
73,17077,8294400
74,15256,8294400
75,18312,8294400
76,16502,8294400
77,15357,8294400
78,17057,8294400
79,17523,8294400
80,16359,8294400
81,17073,8294400
82,15571,8294400
83,16125,8294400
84,17275,8294400
85,16502,8294400
86,16005,8294400
87,18292,8294400
88,16261,8294400
89,18804,8294400
90,33121,8294400
91,13319,8294400
92,17651,8294400
93,16489,8294400
94,16769,8294400
95,18641,8294400
96,13858,8294400
97,17510,8294400
98,16700,8294400
99,16390,8294400
100,17753,8294400
101,16537,8294400
102,15761,8294400
103,19331,8294400
104,18083,8294400
105,30392,8294400
106,15805,8294400
107,17115,8294400
108,15259,8294400
109,17248,8294400
110,16485,8294400
111,16902,8294400
112,17048,8294400
113,17451,8294400
114,16522,8294400
115,16244,8294400
116,16346,8294400
117,15897,8294400
118,17328,8294400
119,17154,8294400
