frame_index,duration_us,output_bytes
0,16476,8294400
1,17079,8294400
2,17259,8294400
3,16751,8294400
4,15938,8294400
5,18135,8294400
6,15563,8294400
7,16585,8294400
8,17347,8294400
9,17209,8294400
10,15230,8294400
11,16763,8294400
12,17299,8294400
13,17091,8294400
14,15467,8294400
15,16300,8294400
16,16160,8294400
17,18506,8294400
18,15450,8294400
19,16920,8294400
20,16151,8294400
21,18329,8294400
22,14770,8294400
23,17011,8294400
24,17530,8294400
25,16265,8294400
26,16298,8294400
27,16557,8294400
28,17072,8294400
29,17556,8294400
30,15085,8294400
31,17018,8294400
32,18199,8294400
33,15990,8294400
34,15993,8294400
35,18777,8294400
36,15119,8294400
37,17045,8294400
38,15603,8294400
39,15986,8294400
40,18037,8294400
41,17306,8294400
42,16053,8294400
43,16016,8294400
44,16569,8294400
45,18639,8294400
46,15081,8294400
47,16304,8294400
48,16747,8294400
49,18707,8294400
50,16334,8294400
51,19068,8294400
52,34594,8294400
53,28249,8294400
54,16922,8294400
55,18381,8294400
56,14085,8294400
57,17403,8294400
58,16861,8294400
59,16384,8294400
60,17018,8294400
61,16557,8294400
62,16086,8294400
63,17329,8294400
64,15876,8294400
65,18019,8294400
66,15768,8294400
67,18368,8294400
68,15589,8294400
69,15234,8294400
70,17826,8294400
71,17018,8294400
72,15577,8294400
73,16025,8294400
74,18019,8294400
75,16508,8294400
76,16730,8294400
77,15247,8294400
78,18541,8294400
79,16544,8294400
80,16020,8294400
81,16490,8294400
82,17246,8294400
83,17018,8294400
84,15884,8294400
85,16277,8294400
86,17038,8294400
87,18160,8294400
88,14252,8294400
89,17545,8294400
90,16474,8294400
91,18288,8294400
92,15085,8294400
93,16700,8294400
94,17362,8294400
95,17292,8294400
96,14889,8294400
97,16929,8294400
98,17240,8294400
99,17647,8294400
100,15046,8294400
101,17017,8294400
102,16821,8294400
103,18954,8294400
104,14164,8294400
105,16806,8294400
106,17245,8294400
107,16194,8294400
108,19215,8294400
109,15454,8294400
110,21073,8294400
111,28096,8294400
112,16525,8294400
113,16173,8294400
114,17600,8294400
115,16670,8294400
116,15916,8294400
117,17356,8294400
118,16681,8294400
119,16668,8294400
