frame_index,duration_us,output_bytes
0,16150,8294400
1,15850,8294400
2,18432,8294400
3,15886,8294400
4,18846,8294400
5,31889,8294400
6,19643,8294400
7,31821,8294400
8,37184,8294400
9,27622,8294400
10,16333,8294400
11,17340,8294400
12,16274,8294400
13,15526,8294400
14,17644,8294400
15,16398,8294400
16,16017,8294400
17,19141,8294400
18,34214,8294400
19,32910,8294400
20,32339,8294400
21,31996,8294400
22,17469,8294400
23,15222,8294400
24,17312,8294400
25,17402,8294400
26,16183,8294400
27,17460,8294400
28,15019,8294400
29,18476,8294400
30,16567,8294400
31,18125,8294400
32,31066,8294400
33,18736,8294400
34,31215,8294400
35,16557,8294400
36,15984,8294400
37,16550,8294400
38,16908,8294400
39,16825,8294400
40,15831,8294400
41,16694,8294400
42,18038,8294400
43,15590,8294400
44,18120,8294400
45,15801,8294400
46,17546,8294400
47,14657,8294400
48,16301,8294400
49,17327,8294400
50,16096,8294400
51,18432,8294400
52,16061,8294400
53,18023,8294400
54,14085,8294400
55,17861,8294400
56,16396,8294400
57,17375,8294400
58,15466,8294400
59,16236,8294400
60,17642,8294400
61,15751,8294400
62,16850,8294400
63,16827,8294400
64,16200,8294400
65,17332,8294400
66,16699,8294400
67,16183,8294400
68,19190,8294400
69,15794,8294400
70,16883,8294400
71,17692,8294400
72,16112,8294400
73,15076,8294400
74,18414,8294400
75,14597,8294400
76,17315,8294400
77,15950,8294400
78,17105,8294400
79,15352,8294400
80,17304,8294400
81,17380,8294400
82,15757,8294400
83,19061,8294400
84,15011,8294400
85,17818,8294400
86,15944,8294400
87,17344,8294400
88,16228,8294400
89,15155,8294400
90,17004,8294400
91,16217,8294400
92,17351,8294400
93,16305,8294400
94,17005,8294400
95,16036,8294400
96,16838,8294400
97,16152,8294400
98,16620,8294400
99,16883,8294400
100,17133,8294400
101,16716,8294400
102,17562,8294400
103,15832,8294400
104,19159,8294400
105,14596,8294400
106,15703,8294400
107,17136,8294400
108,16352,8294400
109,17220,8294400
110,16103,8294400
111,18129,8294400
112,16195,8294400
113,15523,8294400
114,16583,8294400
115,17457,8294400
116,16020,8294400
117,17653,8294400
118,16197,8294400
119,16088,8294400
